PULocationID,DOLocationID,total_trips,gross_revenue,revenue_rank
240,4,1,50.0,4
240,232,1,49.0,5
241,152,9,323.0,1
241,226,6,308.76,2
241,228,4,272.24,3
241,45,4,208.82,4
241,244,7,203.43,5
242,121,11,473.97,1
242,242,20,404.92,2
242,42,9,306.94,3
242,76,5,286.7,4
242,51,10,228.2,5
243,243,100,4078.56,1
243,244,72,952.31,2
243,132,7,606.99,3
243,138,11,592.3,4
243,142,11,419.57,5
244,244,230,5709.79,1
244,238,84,2403.11,2
244,239,62,2162.33,3
244,116,163,2025.76,4
244,166,79,1692.11,5
245,245,2,0.0,1
246,230,3361,66934.67,1
246,48,3733,61139.6,2
246,161,1829,41614.11,3
246,68,2753,39759.09,4
246,246,2385,36508.02,5
247,229,12,419.72,1
247,134,9,399.89,2
247,42,23,319.51,3
247,247,21,302.11,4
247,265,2,250.12,5
248,248,11,325.43,1
248,262,4,196.3,2
248,231,4,191.25,3
248,55,2,155.88,4
248,239,4,144.0,5
249,79,3691,66359.83,1
249,231,3249,56586.74,2
249,68,3289,52529.15,3
249,234,3078,48830.1,4
249,170,2173,48562.2,5
250,188,4,233.88,1
250,75,7,215.0,2
250,90,5,207.94,3
250,250,15,153.23,4
250,17,3,150.94,5
251,186,1,106.74,1
251,25,1,68.08,2
251,89,1,39.84,3
251,251,2,0.0,4
252,265,2,349.73,1
252,252,7,349.61,2
252,226,5,187.65,3
252,39,4,176.0,4
252,1,1,137.04,5
253,265,1,147.94,1
253,10,1,66.5,2
253,94,1,45.78,3
253,76,1,43.68,4
253,28,1,29.9,5
254,254,29,1093.52,1
254,76,6,410.66,2
254,137,8,384.2,3
254,244,10,345.39,4
254,119,9,296.94,5
255,255,88,2253.94,1
255,112,79,993.43,2
255,256,64,762.57,3
255,138,19,706.0,4
255,79,27,691.32,5
256,256,78,1869.26,1
256,132,13,1047.48,2
256,138,23,907.31,3
256,232,28,893.17,4
256,79,35,886.42,5
257,238,8,321.0,1
257,257,10,278.38,2
257,137,5,204.4,3
257,161,3,141.74,4
257,50,3,114.94,5
258,140,18,974.55,1
258,258,19,376.09,2
258,121,11,332.11,3
258,88,7,329.82,4
258,231,7,277.82,5
259,87,5,283.88,1
259,137,5,265.94,2
259,7,5,238.27,3
259,140,5,237.82,4
259,231,4,222.94,5
260,260,140,1800.58,1
260,132,15,1390.43,2
260,230,16,1130.11,3
260,226,79,1036.43,4
260,138,18,894.01,5
261,230,744,26183.35,1
261,132,276,24532.41,2
261,138,235,18290.13,3
261,161,376,13989.94,4
261,68,459,12321.63,5
262,236,5881,84739.82,1
262,237,3615,65319.67,2
262,140,3822,52822.3,3
262,141,2547,38780.91,4
262,161,1595,38136.84,5
263,141,6303,87420.65,1
263,236,6574,84883.19,2
263,237,4268,69361.23,3
263,140,3413,52538.89,4
263,263,3494,46579.41,5
264,264,7381,215809.04,1
264,132,68,4980.8,2
264,162,109,2926.77,3
264,237,134,2907.37,4
264,161,112,2845.9,5
265,265,1144,120401.05,1
265,1,57,6391.29,2
265,264,41,5142.19,3
265,132,16,1478.06,4
265,216,4,617.5,5
